comment_text,any_toxic,id
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now.89.205.38.27",False,0000997932d777bf
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC)",False,000103f0d9cfb60f
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the actual info.",False,000113f07ec002fd
"""
More
I can't make any real suggestions on improvement - I wondered if the section statistics should be later on, or a subsection of """"types of accidents""""  -I think the references may need tidying so that they are all in the exact same format ie date format etc. I can do that later on, if no-one else does first - if you have any preferences for formatting style on references or want to do it yourself please let me know.

There appears to be a backlog on articles for review so I guess there may",False,0001b41b1c6bb37e
"You, sir, are my hero. Any chance you remember what page that's on?",False,0001d958c54c6e35
"""

Congratulations from me as well, use the tools well.  · talk """,False,00025465d4725e87
COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,True,0002bcb3da6cb337
"Your vandalism to the Matt Shirvington article has been reverted.  Please don't do it again, or you will be banned.",False,00031b1e95af7921
"Sorry if the word 'nonsense' was offensive to you. Anyway, I'm not intending to write anything in the article(wow they would jump on me for vandalism), I'm merely requesting that it be more encyclopedic so one can use it for school as a reference. I have been to the selective breeding page but it's almost a stub. It points to 'animal breeding' which is a short messy article that gives you no info. There must be someone around with expertise in eugenics? 93.161.107.169",False,00037261f536c51d
alignment on this subject and which are contrary to those of DuLithgow,False,00040093b2687caa
